"terms","count","probability"
"will work",92,0.000708057229495201
"cant help",91,0.000700360955261558
"dont go",91,0.000700360955261558
"early s",91,0.000700360955261558
"hope everyone",91,0.000700360955261558
"president barack",91,0.000700360955261558
"way go",91,0.000700360955261558
"world war",91,0.000700360955261558
"associated press",90,0.000692664681027914
"find way",90,0.000692664681027914
"go see",90,0.000692664681027914
"go sleep",90,0.000692664681027914
"oh god",90,0.000692664681027914
"past years",90,0.000692664681027914
"put together",90,0.000692664681027914
"two hours",90,0.000692664681027914
"dont make",89,0.000684968406794271
"hope youre",89,0.000684968406794271
"thanks everyone",89,0.000684968406794271
"two three",89,0.000684968406794271
"wanna go",89,0.000684968406794271
"day today",88,0.000677272132560627
"hope can",88,0.000677272132560627
"ive always",88,0.000677272132560627
"one will",88,0.000677272132560627
"regular season",88,0.000677272132560627
"see can",88,0.000677272132560627
"thursday night",88,0.000677272132560627
"u know",88,0.000677272132560627
"way get",88,0.000677272132560627
"will keep",88,0.000677272132560627
"will tell",88,0.000677272132560627
"ever seen",87,0.000669575858326984
"forward seeing",87,0.000669575858326984
"just keep",87,0.000669575858326984
"like good",87,0.000669575858326984
"make feel",87,0.000669575858326984
"make sense",87,0.000669575858326984
"one way",87,0.000669575858326984
"past two",87,0.000669575858326984
"time will",87,0.000669575858326984
"can come",86,0.00066187958409334
"come see",86,0.00066187958409334
"dont miss",86,0.00066187958409334
"finally got",86,0.00066187958409334
"going make",86,0.00066187958409334
"head coach",86,0.00066187958409334
"never really",86,0.00066187958409334
"nothing like",86,0.00066187958409334
"people think",86,0.00066187958409334
"really really",86,0.00066187958409334
"back work",85,0.000654183309859697
"best thing",85,0.000654183309859697
"couple years",85,0.000654183309859697
"facebook page",85,0.000654183309859697
"time time",85,0.000654183309859697
"dont wanna",84,0.000646487035626053
"every night",84,0.000646487035626053
"first two",84,0.000646487035626053
"great way",84,0.000646487035626053
"next month",84,0.000646487035626053
"set aside",84,0.000646487035626053
"six years",84,0.000646487035626053
"state university",84,0.000646487035626053
"young people",84,0.000646487035626053
"best friends",83,0.00063879076139241
"feel good",83,0.00063879076139241
"first round",83,0.00063879076139241
"got home",83,0.00063879076139241
"think thats",83,0.00063879076139241
"will bring",83,0.00063879076139241
"will probably",83,0.00063879076139241
"awkward moment",82,0.000631094487158766
"couple days",82,0.000631094487158766
"follow us",82,0.000631094487158766
"get see",82,0.000631094487158766
"jesus christ",82,0.000631094487158766
"one first",82,0.000631094487158766
"people just",82,0.000631094487158766
"two months",82,0.000631094487158766
"act like",81,0.000623398212925123
"already know",81,0.000623398212925123
"cell phone",81,0.000623398212925123
"come true",81,0.000623398212925123
"days later",81,0.000623398212925123
"dont give",81,0.000623398212925123
"go bed",81,0.000623398212925123
"hall fame",81,0.000623398212925123
"ill get",81,0.000623398212925123
"im back",81,0.000623398212925123
"jersey city",81,0.000623398212925123
"just another",81,0.000623398212925123
"lets see",81,0.000623398212925123
"real life",81,0.000623398212925123
"th anniversary",81,0.000623398212925123
"anyone know",80,0.000615701938691479
"far away",80,0.000615701938691479
"go away",80,0.000615701938691479
"going see",80,0.000615701938691479
"just going",80,0.000615701938691479
"last minute",80,0.000615701938691479
"makes feel",80,0.000615701938691479
"medical center",80,0.000615701938691479
"need help",80,0.000615701938691479
"never get",80,0.000615701938691479
"rose percent",80,0.000615701938691479
"th street",80,0.000615701938691479
"will follow",80,0.000615701938691479
"will play",80,0.000615701938691479
"cant find",79,0.000608005664457836
"follow please",79,0.000608005664457836
"im hoping",79,0.000608005664457836
"justin bieber",79,0.000608005664457836
"last weekend",79,0.000608005664457836
"long day",79,0.000608005664457836
"new followers",79,0.000608005664457836
"right away",79,0.000608005664457836
"second time",79,0.000608005664457836
"trying make",79,0.000608005664457836
"will try",79,0.000608005664457836
"blog post",78,0.000600309390224193
"can always",78,0.000600309390224193
"come home",78,0.000600309390224193
"elementary school",78,0.000600309390224193
"harry potter",78,0.000600309390224193
"ill just",78,0.000600309390224193
"just love",78,0.000600309390224193
"need go",78,0.000600309390224193
"need make",78,0.000600309390224193
"new one",78,0.000600309390224193
"san antonio",78,0.000600309390224193
"seem like",78,0.000600309390224193
"way back",78,0.000600309390224193
"west coast",78,0.000600309390224193
"brand new",77,0.000592613115990549
"can never",77,0.000592613115990549
"cant see",77,0.000592613115990549
"earlier year",77,0.000592613115990549
"long way",77,0.000592613115990549
"merry christmas",77,0.000592613115990549
"peanut butter",77,0.000592613115990549
"said think",77,0.000592613115990549
"south africa",77,0.000592613115990549
"spring break",77,0.000592613115990549
"think just",77,0.000592613115990549
"time since",77,0.000592613115990549
"will soon",77,0.000592613115990549
"cant sleep",76,0.000584916841756905
"dont believe",76,0.000584916841756905
"end day",76,0.000584916841756905
"good things",76,0.000584916841756905
"just much",76,0.000584916841756905
"now time",76,0.000584916841756905
"public schools",76,0.000584916841756905
"sunday night",76,0.000584916841756905
"u r",76,0.000584916841756905
"can u",75,0.000577220567523262
"everything else",75,0.000577220567523262
"im always",75,0.000577220567523262
"just found",75,0.000577220567523262
"just go",75,0.000577220567523262
"past year",75,0.000577220567523262
"people know",75,0.000577220567523262
"pleaded guilty",75,0.000577220567523262
"police officers",75,0.000577220567523262
"several times",75,0.000577220567523262
"something new",75,0.000577220567523262
"sounds good",75,0.000577220567523262
"took place",75,0.000577220567523262
"well get",75,0.000577220567523262
"will become",75,0.000577220567523262
"authorities said",74,0.000569524293289618
"first thing",74,0.000569524293289618
"get free",74,0.000569524293289618
"got new",74,0.000569524293289618
"late night",74,0.000569524293289618
"long ago",74,0.000569524293289618
"lot time",74,0.000569524293289618
"make happen",74,0.000569524293289618
"monday night",74,0.000569524293289618
"say im",74,0.000569524293289618
"will happen",74,0.000569524293289618
"bay area",73,0.000561828019055975
"best part",73,0.000561828019055975
"didnt see",73,0.000561828019055975
